seguridad.nombre_barrio,promedio_robos,casos_totales,nivel_geo,seguridad.codigo_barrio,seguridad.codigo_comuna,zona_clave,municipio_x,promedio_robos_municipio,casos_municipio,departamento,sector,comuna,municipio_y,promedio_arriendo_apartamento,rango_apartamento,promedio_arriendo_casa,rango_casa,promedio_arriendo_local,rango_local,indice_riesgo,nivel_riesgo,alerta
SAN MARTIN DE PORRES,2.066666666666667,31.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04856067541450514,🥉 Bronce,🚨 Alerta Roja
SAN MIGUEL,1.7083333333333333,41.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04014088088699013,🥇 Oro,🟢 Segura
SAN PABLO,1.4,7.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.03289594140982606,💎 Diamante,🟢 Segura
SAN PEDRO,2.0526315789473686,78.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04823089154072242,🥉 Bronce,🚨 Alerta Roja
SANTA CRUZ,2.2222222222222223,20.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.05221578001559692,🥉 Bronce,🚨 Alerta Roja
SANTA ELENA SECTOR CENTRAL,1.5714285714285714,11.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.03692401586817211,🥇 Oro,🟢 Segura
SANTA FE,3.2096774193548385,199.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.07541811452252749,🧱 Cobre,🚨 Alerta Roja
SANTA INES,1.2222222222222223,11.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.02871867900857831,💎 Diamante,🟢 Segura
SANTA LUCIA,1.7272727272727273,19.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04058590173939579,🥇 Oro,🟢 Segura
SANTA MARGARITA,3.3333333333333335,20.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.07832367002339538,🧱 Cobre,🚨 Alerta Roja
SANTA MARIA DE LOS ANGELES,3.963636363636364,218.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.09313396399145561,🧱 Cobre,🚨 Alerta Roja
SANTA MONICA,1.9166666666666667,23.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04503611026345235,🥈 Plata,🟠 Alerta Media
SANTA ROSA DE LIMA,1.0,2.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
SANTA TERESITA,1.1666666666666667,7.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.027413284508188387,💎 Diamante,🟢 Segura
SANTANDER,2.5714285714285716,18.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.06042111687519073,🥉 Bronce,🚨 Alerta Roja
SANTO DOMINGO SAVIO NO1,1.5625,25.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.036714220323466586,🥇 Oro,🟢 Segura
SANTO DOMINGO SAVIO NO2,1.2,6.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.028196521208422337,💎 Diamante,🟢 Segura
SEVILLA,3.3620689655172415,195.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.0789988740753212,🧱 Cobre,🚨 Alerta Roja
SIMON BOLIVAR,2.0,18.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
SIN DATO,2.0,24.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
SUCRE,2.2857142857142856,32.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.053707659444613975,🥉 Bronce,🚨 Alerta Roja
SURAMERICANA,2.2444444444444445,101.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.052737937815752894,🥉 Bronce,🚨 Alerta Roja
TEJELO,1.4285714285714286,10.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.033567287152883735,🥇 Oro,🟢 Segura
TENCHE,2.7586206896551726,80.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.06481958898487894,🧱 Cobre,🚨 Alerta Roja
TERMINAL DE TRANSPORTE,6.057971014492754,418.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.14234475682512726,🧱 Cobre,🚨 Alerta Roja
TOSCANA,1.588235294117647,27.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.03731892512879427,🥇 Oro,🟢 Segura
TRAVESIAS,2.0,2.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
TRECE DE NOVIEMBRE,1.0,2.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
TRICENTENARIO,2.125,102.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04993133963991456,🥉 Bronce,🚨 Alerta Roja
TRINIDAD,2.324324324324324,86.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.05461488342171894,🥉 Bronce,🚨 Alerta Roja
UD ATANASIO GIRARDOT,2.257142857142857,79.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.0530363137015563,🥉 Bronce,🚨 Alerta Roja
UNIVERSIDAD DE ANTIOQUIA,1.975,79.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04640677448886177,🥈 Plata,🟠 Alerta Media
UNIVERSIDAD NACIONAL,2.0952380952380953,44.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04923202115756282,🥉 Bronce,🚨 Alerta Roja
UPB,1.625,13.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.03818278913640525,🥇 Oro,🟢 Segura
VEINTE DE JULIO,1.6666666666666667,15.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.03916183501169769,🥇 Oro,🟢 Segura
VERSALLES NO1,2.5,15.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.058742752517546536,🥉 Bronce,🚨 Alerta Roja
VERSALLES NO2,2.0,6.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
